id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-11-30 03:43:59,"{""short_code"":""0Tnlrx"",""original_url"":""https://acme.dev/rapid/engine/1""}"
2,2,360,created,2025-04-23 18:10:35,"{""short_code"":""L6jDuW"",""original_url"":""https://hackstack.io/gold/river/2""}"
3,3,28,created,2025-11-21 05:15:20,"{""short_code"":""8SlGni"",""original_url"":""https://hackstack.io/harbor/canyon/3""}"
4,4,217,created,2025-02-11 11:47:51,"{""short_code"":""Ver1zJ"",""original_url"":""https://acme.dev/keen/network/4""}"
5,5,269,created,2025-07-30 13:19:08,"{""short_code"":""nyfFhM"",""original_url"":""https://relay.cloud/clear/canyon/5""}"
6,6,154,created,2025-11-03 15:36:14,"{""short_code"":""NDouBD"",""original_url"":""https://opswise.net/brisk/uplink/6""}"
7,7,147,created,2025-07-09 14:49:40,"{""short_code"":""e3JMiK"",""original_url"":""https://relay.cloud/tidy/valley/7""}"
8,8,159,created,2025-07-19 17:01:25,"{""short_code"":""eEAXpV"",""original_url"":""https://example.com/lively/window/8""}"
9,9,103,created,2025-07-01 22:42:25,"{""short_code"":""Zek7f1"",""original_url"":""https://hackstack.io/vivid/pioneer/9""}"
10,10,161,created,2025-05-01 03:52:56,"{""short_code"":""rMnM8H"",""original_url"":""https://seeded.app/keen/trail/10""}"
11,11,223,created,2025-02-13 21:58:51,"{""short_code"":""ijdjTO"",""original_url"":""https://acme.dev/warm/network/11""}"
12,12,210,created,2025-04-24 19:52:50,"{""short_code"":""cXOuEu"",""original_url"":""https://hackstack.io/gold/delta/12""}"
13,13,102,created,2025-07-16 02:24:19,"{""short_code"":""ERudk1"",""original_url"":""https://hackstack.io/vivid/anchor/13""}"
14,14,71,created,2025-08-12 20:55:46,"{""short_code"":""vCLsdz"",""original_url"":""https://acme.dev/young/river/14""}"
15,15,217,created,2025-11-06 16:40:39,"{""short_code"":""Eg5vRl"",""original_url"":""https://seeded.app/rapid/valley/15""}"
16,16,147,created,2025-01-22 08:03:31,"{""short_code"":""T86vqW"",""original_url"":""https://example.com/mellow/network/16""}"
17,17,4,created,2025-04-30 03:28:00,"{""short_code"":""MaKWjg"",""original_url"":""https://relay.cloud/proud/uplink/17""}"
18,18,141,created,2026-01-17 22:51:41,"{""short_code"":""ORYJkl"",""original_url"":""https://acme.dev/cobalt/meadow/18""}"
19,19,346,created,2025-08-10 03:42:59,"{""short_code"":""81aHRL"",""original_url"":""https://seeded.app/rapid/orbit/19""}"
20,20,6,created,2026-01-12 14:54:40,"{""short_code"":""O8OKob"",""original_url"":""https://relay.cloud/proud/yard/20""}"
21,21,362,created,2025-06-16 09:41:12,"{""short_code"":""iG4ZRx"",""original_url"":""https://example.com/proud/orbit/21""}"
22,22,206,created,2025-03-16 19:44:23,"{""short_code"":""XI7NzF"",""original_url"":""https://hackstack.io/rapid/meadow/22""}"
23,23,166,created,2025-04-18 19:59:46,"{""short_code"":""bCT4Xb"",""original_url"":""https://example.com/proud/yard/23""}"
24,24,357,created,2025-07-21 15:24:26,"{""short_code"":""HiIonN"",""original_url"":""https://example.com/harbor/valley/24""}"
25,25,321,created,2025-07-20 12:59:46,"{""short_code"":""jMo3eE"",""original_url"":""https://acme.dev/opal/island/25""}"
26,26,289,created,2025-05-05 21:31:06,"{""short_code"":""Tmm1yB"",""original_url"":""https://opswise.net/harbor/signal/26""}"
27,27,316,created,2025-12-29 11:49:37,"{""short_code"":""zlNAIW"",""original_url"":""https://hackstack.io/lively/trail/27""}"
28,28,258,created,2025-03-17 05:07:35,"{""short_code"":""NT85B5"",""original_url"":""https://acme.dev/ivory/network/28""}"
29,29,260,created,2026-01-12 09:57:04,"{""short_code"":""Uuhmv9"",""original_url"":""https://relay.cloud/proud/signal/29""}"
30,30,280,created,2026-02-19 09:55:41,"{""short_code"":""Om6n3W"",""original_url"":""https://relay.cloud/warm/window/30""}"
31,31,309,created,2025-01-26 17:53:02,"{""short_code"":""SdPUoy"",""original_url"":""https://example.com/brisk/engine/31""}"
32,32,262,created,2025-06-05 02:30:13,"{""short_code"":""ziv1LX"",""original_url"":""https://example.com/lively/river/32""}"
33,33,331,created,2025-04-17 06:33:38,"{""short_code"":""Xp7iYU"",""original_url"":""https://seeded.app/rapid/garden/33""}"
34,34,45,created,2025-03-01 20:23:14,"{""short_code"":""t4kb6H"",""original_url"":""https://seeded.app/silver/anchor/34""}"
35,35,281,created,2025-10-07 13:16:25,"{""short_code"":""kNU57L"",""original_url"":""https://hackstack.io/young/garden/35""}"
36,36,399,created,2025-06-03 19:01:24,"{""short_code"":""w5Wt8X"",""original_url"":""https://relay.cloud/urban/orbit/36""}"
37,37,260,created,2025-02-04 04:18:34,"{""short_code"":""rdfgbc"",""original_url"":""https://seeded.app/silver/window/37""}"
38,38,217,created,2025-10-20 05:24:37,"{""short_code"":""BHa1Vl"",""original_url"":""https://hackstack.io/dawn/kernel/38""}"
39,39,312,created,2025-02-24 03:39:27,"{""short_code"":""AyObap"",""original_url"":""https://relay.cloud/quiet/pioneer/39""}"
40,40,102,created,2026-02-01 01:39:06,"{""short_code"":""vhpud8"",""original_url"":""https://relay.cloud/warm/signal/40""}"
41,41,13,created,2025-08-05 09:35:22,"{""short_code"":""halRjo"",""original_url"":""https://seeded.app/warm/trail/41""}"
42,42,98,created,2025-03-17 08:44:19,"{""short_code"":""6woZ39"",""original_url"":""https://acme.dev/mellow/meadow/42""}"
43,43,173,created,2025-01-19 12:04:38,"{""short_code"":""29w81o"",""original_url"":""https://acme.dev/amber/network/43""}"
44,44,37,created,2025-12-10 11:13:02,"{""short_code"":""GSFwSz"",""original_url"":""https://opswise.net/ivory/island/44""}"
45,45,110,created,2025-10-15 22:31:16,"{""short_code"":""XXhjAy"",""original_url"":""https://seeded.app/clear/garden/45""}"
